dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,Vestfold,39,Holmestrand,3903,,,3903,Holmestrand,kommune
GEO,Geografi,Hele landet,0,Vestfold,39,Tønsberg,3905,,,3905,Tønsberg,kommune
GEO,Geografi,Hele landet,0,Vestfold,39,Sandefjord,3907,,,3907,Sandefjord,kommune
GEO,Geografi,Hele landet,0,Vestfold,39,Larvik,3909,,,3909,Larvik,kommune
GEO,Geografi,Hele landet,0,Vestfold,39,Færder,3911,,,3911,Færder,kommune
GEO,Geografi,Hele landet,0,Telemark,40,,,,,40,Telemark,fylke
GEO,Geografi,Hele landet,0,Telemark,40,Porsgrunn,4001,,,4001,Porsgrunn,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Skien,4003,,,4003,Skien,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Notodden,4005,,,4005,Notodden,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Siljan,4010,,,4010,Siljan,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Bamble,4012,,,4012,Bamble,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Kragerø,4014,,,4014,Kragerø,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Drangedal,4016,,,4016,Drangedal,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Nome,4018,,,4018,Nome,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Midt-Telemark,4020,,,4020,Midt-Telemark,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Seljord,4022,,,4022,Seljord,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Hjartdal,4024,,,4024,Hjartdal,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Tinn,4026,,,4026,Tinn,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Kviteseid,4028,,,4028,Kviteseid,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Nissedal,4030,,,4030,Nissedal,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Fyresdal,4032,,,4032,Fyresdal,kommune
GEO,Geografi,Hele landet,0,Telemark,40,Tokke,4034,,,4034,Tokke,kommune
