kommunenr_2024,kommunenavn_2024,Kilde,kommunenr_historiske,kommuner_alle.name
4024,Hjartdal,kommunenr_2024,4024,Hjartdal
4026,Tinn,kommunenr_1977,0826,Tinn
4026,Tinn,kommunenr_2020,3818,Tinn
4026,Tinn,kommunenr_2024,4026,Tinn
4028,Kviteseid,kommunenr_2024,4028,Kviteseid
4028,Kviteseid,kommunenr_2020,3821,Kviteseid
4028,Kviteseid,kommunenr_1977,0829,Kviteseid
4030,Nissedal,kommunenr_1977,0830,Nissedal
4030,Nissedal,kommunenr_2020,3822,Nissedal
4030,Nissedal,kommunenr_2024,4030,Nissedal
4032,Fyresdal,kommunenr_2020,3823,Fyresdal
4032,Fyresdal,kommunenr_1977,0831,Fyresdal
4032,Fyresdal,kommunenr_2024,4032,Fyresdal
4034,Tokke,kommunenr_1977,0833,Tokke
4034,Tokke,kommunenr_2020,3824,Tokke
4034,Tokke,kommunenr_2024,4034,Tokke
4036,Vinje,kommunenr_2020,3825,Vinje
4036,Vinje,kommunenr_2024,4036,Vinje
4036,Vinje,kommunenr_1977,0834,Vinje
4201,Risõr,kommunenr_1977,0901,Risõr
4201,Risõr,kommunenr_2020,4201,Risõr
4202,Grimstad,kommunenr_1977,0904,Grimstad
4202,Grimstad,kommunenr_2020,4202,Grimstad
4203,Arendal,kommunenr_2020,4203,Arendal
4203,Arendal,kommunenr_1977,0920,ùyestad
4203,Arendal,kommunenr_1977,0922,Hisõy
